statement,justification,label,label_int
"The French registry operator AFNIC (which is the registry for [.]re domains) decided to return the domain name (leparisien[.]re) to Le Parisien, as the website’s only purpose was to have a domain name (and website) that was confusingly similar to the legitimate domain.",This sentence details a corrective action by a domain registry operator to return a misleadingly similar domain to its rightful owner to mitigate confusion and disinformation.,Applied Countermeasure,0
"The Council of the EU imposed restrictive measures against seven Russian individuals and five entities responsible for the Doppelganger/RRN operation, freezing their assets, banning natural persons from travelling into and through EU territories, and prohibiting EU citizens and companies from making funds available to these entities.","The sentence describes sanctions and restrictive measures enacted by the EU as a direct response to foreign interference activities, representing concrete counteractions.",Applied Countermeasure,0
The US Department of the Treasury’s Office of Foreign Assets Control sanctioned two individuals (Gambashidze and Tupikin) and two entities (Social Design Agency and Struktura) for providing services to 'the Government of the Russian Federation (GoR) in connection with a foreign malign influence campaign'.,"Here, the sentence reports on sanctions imposed by a US governmental body targeting individuals and entities linked to malign influence campaigns, acting as a deterrent and counteraction to disinformation.",Applied Countermeasure,0
"As a result, all US property and interests in property are blocked, and transactions involving funds, goods or services with the blocked individuals are prohibited.","The sentence continues to describe the specific results of the sanctions, which are meant to prevent further influence and activities by those entities through financial and property restrictions.",Applied Countermeasure,0
Content moderation or curation - Meta and X took down content and restricted their services to the malign actors [C00070] [C00071] [C00107] [C00122] [C00172] [C00197] [C00133].,This mentions actions taken by social media companies to remove and restrict access to malignant actors as a form of content moderation to prevent the spread of disinformation.,Applied Countermeasure,0
Statement of rebuttal/condemnation - Several impersonated media and institutions made statements flagging the impersonation and distancing themselves from the cloned websites.,"The sentence describes actions taken by impersonated entities to publicly condemn and distance themselves from fake sites, countering disinformation through public statements.",Applied Countermeasure,0
The German Ministry of Interior acknowledged the impersonation and stated its commitment to “curb the spread of misinformation”.,The sentence describes a commitment or intention to act against misinformation but does not outline a specific action that has already been taken. It suggests a future action to curb misinformation.,Recommended Countermeasure,3
Süddeutsche Zeitung,"The sentence simply states the name of a publication and does not provide information related to a countermeasure, its recommendation, or effectiveness.",Non-Countermeasure Related,2
"Fact-checking - The campaign called the attention of fact-checkers, for instance, in 2022 and 2023, AFP debunked the impersonation of websites.","This sentence outlines an action that has been taken by fact-checkers to debunk disinformation, specifically impersonation of websites.",Applied Countermeasure,0
"In 2024, the same organisation verified a misleading video about the farmers’ protest causing an arson to the Ukrainian Embassy in France.","This sentence describes a specific action where a misleading video was verified by a fact-checking organization, which is a concrete action taken to address misinformation.",Applied Countermeasure,0
"Legal proceedings - Although these countermeasures did not cause a change in policy or law per se, they showed an application of these principles, favouring considerations on their effectiveness.","The sentence evaluates the effectiveness of legal proceedings as a countermeasure by stating that they did not result in policy changes but applied certain principles, suggesting an effectiveness analysis.",Countermeasure Effectiveness,1
Süddeutsche Zeitung used ICANN’s UDRP (Uniform Domain Resolution Procedure) to bring the case before the WIPO arbitration panel to have the domain sueddeutsche[.,"The sentence describes a legal action taken by Süddeutsche Zeitung through an arbitration panel to address a domain name issue, which is a concrete countermeasure applied.",Applied Countermeasure,0
]me successfully transferred to it.,"This portion indicates a successful outcome of the legal action taken by Süddeutsche Zeitung under UDRP to have the domain transferred, marking a completion of an applied countermeasure.",Applied Countermeasure,0
"Le Monde used the same UDRP mechanism, although via a different arbitration panel (the Czech Arbitration Court), to open a disputed domain name against lemonde[.]ltd.","The sentence describes a specific action taken by Le Monde to use the UDRP mechanism to address a domain dispute, indicative of a true applied countermeasure.",Applied Countermeasure,0
"The complaint was accepted, and the domain was transferred to the newspaper in July 2023.","This describes the outcome of Le Monde's legal action under the UDRP mechanism, confirming the successful application of their countermeasure.",Applied Countermeasure,0
Le Monde,"This sentence states the name of the publication without any context or detail related to countermeasures, recommendations, or assessments of effectiveness.",Non-Countermeasure Related,2
"After the WIPO ruling, the French government could seize the domain name impersonating the French Ministry of Foreign Affairs (diplomatie[.]gouv[.]fm).",The sentence describes a concrete action that was applied as a result of a WIPO ruling to mitigate and counteract impersonation and disinformation by seizing a deceptive domain.,Applied Countermeasure,0
"The French registry operator AFNIC (which is the registry for [.re]) decided to return the domain name (leparisien[.]re) to Le Parisien, as the website’s only purpose was to have a domain name (and website) that was confusingly similar to the legitimate domain.","The sentence describes a decision by a registry operator to return a domain to its legitimate owner, which is a concrete action taken to resolve an issue of impersonation and prevent misuse.",Applied Countermeasure,0
"The Council of the EU imposed restrictive measures against seven Russian individuals and five entities responsible for the Doppelganger/RRN operation, freezing their assets, banning natural persons from travelling into and through EU territories, and prohibiting EU citizens and companies from making funds available to these entities.","The sentence describes specific measures taken by the Council of the EU, including asset freezes and travel bans, to counteract the Doppelganger/RRN operation, a foreign interference campaign.",Applied Countermeasure,0
"Conclusions: Since February 2022, the Russian-origin 'Doppelganger' operation—also known as RRN—has targeted multiple countries to undermine support for Ukraine by impersonating media and institutions websites, and spreading disinformation.",The sentence provides background information on the Doppelganger operation's goals and methods but does not discuss any countermeasures or responses.,Non-Countermeasure Related,2
The campaign illustrates how the abuse of the domain registration system or the European web infrastructure and software can be exploited by hostile actors for the purpose of foreign interference.,The sentence discusses the potential exploitation of domain registration systems for disinformation purposes but does not propose or describe any countermeasures.,Non-Countermeasure Related,2
"On the positive side, it is an example of how the community of defenders and stakeholders against FIMI have reacted to stop this campaign with multiple measures in place.","This sentence evaluates the response to the Doppelganger operation, noting that multiple measures have been put in place by defenders, which is an assessment of countermeasure effectiveness.",Countermeasure Effectiveness,1
"On the negative side, Doppelganger illustrates how, despite this unprecedent effort and the identification and sanctioning of the main threat actors, the operation has been expanded with new actions and a complex obfuscation infrastructure to persist and target other international events.","The sentence evaluates the challenges faced despite efforts made against the Doppelganger operation, highlighting the limitations and ongoing issues, which is an assessment of countermeasure effectiveness.",Countermeasure Effectiveness,1
"In other words, Doppelganger shows how threat actors have been able to evolve their TTPs and persist in the information ecosystem, highlighting the challenges faced by the counter-FIMI community.",This sentence describes the challenges posed by threat actors and their techniques but does not propose or describe any specific countermeasure.,Non-Countermeasure Related,2
Recommendations:,This sentence acts as a header or an introduction for the subsequent recommendations but does not itself contain any actionable content.,Non-Countermeasure Related,2
According to EU DisinfoLab’s this operation calls for a series of European actions such as:,"This is an introductory statement leading into the list of proposed actions, but it does not contain any specific countermeasure itself.",Non-Countermeasure Related,2
Implement stricter regulations in the domain name industry to protect legitimate entities from being impersonated.,"This sentence proposes a specific action to be taken, namely implementing stricter regulations to prevent impersonation, which has not yet been executed.",Recommended Countermeasure,3
Engaging with domain name registries as the intermediary closest to the problem of impersonation appears to be the most effective way to address issues such as impersonation.,"This sentence suggests a strategic engagement with domain name registries as an action to address impersonation, indicating a proposed solution.",Recommended Countermeasure,3
Ensure appropriate measures so that EU-registered software and infrastructure are not exploited for malicious covert influence operations without facing consequences.,"The sentence recommends ensuring safeguards and consequences to prevent the misuse of EU-registered resources, which suggests actions to be taken.",Recommended Countermeasure,3
"Emphasise the importance of enforcing existing laws, such as the Digital Services Act (DSA) and General Data Protection Regulation (GDPR), to their full extent to safeguard users.","This sentence recommends enforcing existing legislation as a measure to safeguard users against exploitation, a strategy not yet executed.",Recommended Countermeasure,3
Overcome the lack of accountability for opaque and ill-intentioned organisations by fostering greater cooperation between institutions that can attribute information operations and those that enforce laws like trademark laws and GDPR.,"This is a proposal for increasing cooperation among institutions to ensure accountability, which is a strategic recommendation.",Recommended Countermeasure,3
Provide better access to platform data to European researchers (including non-academics from civil society organisations) working for the public interest under Article 40 of the DSA.,"The sentence proposes granting researchers better access to data as a measure yet to be implemented, aimed at public interest work.",Recommended Countermeasure,3
Russian disinformation about Russian attacks,"The sentence introduces the topic of Russian disinformation but does not discuss a countermeasure, recommendation, or effectiveness.",Non-Countermeasure Related,2
This case uncovers the complexity and connectivity inside Russian war strategic communication.,"The sentence provides analysis of Russian strategic communication but does not mention a countermeasure, its recommendation, or effectiveness.",Non-Countermeasure Related,2
"The most recent cities targeted by such incidents, blaming Ukrainian anti-aircraft forces, are Kharkiv and Odessa.",The sentence describes disinformation content without discussing a response or countermeasure.,Non-Countermeasure Related,2
"Simultaneously, these cities have received huge attention during the main talk shows on Russian TV.","The sentence describes media coverage and influence without mentioning a countermeasure, its recommendation, or effectiveness.",Non-Countermeasure Related,2
"To counter FIMI manipulation of the cause and effect relationship of the event, the opposing side should employ detailed official communication providing the civilian population information about the possible risks, employing information, media and alarming means.",The sentence suggests specific actions to be taken to counter FIMI manipulation but indicates these actions as recommendations rather than implemented measures.,Recommended Countermeasure,3
"A thorough analysis of the competing context imposed by the Russian FIMI agents should be explained in the media and by experts concerning actual events and concrete forms with accentuated messages (i.e., avoiding abstract explanations and localising the content where possible).",The sentence provides a recommendation for action concerning media narratives and better public communication to counteract disinformation.,Recommended Countermeasure,3
Countermeasures in the context of military attacks should ensure coordination within government institutions and transparency in collaboration with the media sector.,The sentence suggests strategies involving government and media collaboration as recommendations to improve response to disinformation in military contexts.,Recommended Countermeasure,3
The intelligence sector should be involved in the analysis of the echo chambering within the Russian-related social platforms.,The sentence recommends involving the intelligence sector to study echo chambers for better understanding and counteraction of disinformation.,Recommended Countermeasure,3
"From this case study, we see that Russia tried to shift responsibility for its actions to its opponents.",The sentence analyzes Russian disinformation strategy but does not involve a description of a countermeasure.,Non-Countermeasure Related,2
It scapegoats Ukrainian forces on the international level to reduce the perception of its responsibility for committing war crimes and aggression.,The sentence describes a disinformation tactic without addressing a countermeasure or related strategy.,Non-Countermeasure Related,2
"Russian disinformation is disseminated first on the network of sites affiliated with Russia, hosted on Russian domains and via the messages of Russian-related bloggers, politicians and influencers.",This sentence describes the distribution methods of Russian disinformation but does not address any countermeasures or strategies to counteract it.,Non-Countermeasure Related,2
"Russian-related social media platforms such as Telegram, Vkontakte and Odnoklassniki exploit the echo chamber effect to deliver messages.",The sentence explains how Russian-related social media platforms function to spread messages but does not mention any countermeasures or their impact.,Non-Countermeasure Related,2
Telegram remains the most accessed Russian-affiliated platform.,This sentence provides information about the prevalence of Telegram but does not discuss any countermeasures against its use or effectiveness.,Non-Countermeasure Related,2
"To counter FIMI manipulation, the opposing side should employ detailed official communication providing the civil population information about the possible risks, employing information, media and alarming means.","The sentence recommends the use of official communication and media to inform the public about the risks, which is a proposed countermeasure.",Recommended Countermeasure,3
Russian FIMI against the Armed Forces of Ukraine (AFU),This sentence introduces the topic of Russian FIMI against the AFU but does not discuss any specific countermeasures or responses.,Non-Countermeasure Related,2
"To effectively counter the FIMI campaign targeting the AFU, a comprehensive strategy must focus on enhancing strategies implemented on different levels: governmental, civil society, media and cyber.",The sentence suggests a multi-level strategy as a recommended countermeasure to tackle the FIMI campaign targeting the AFU.,Recommended Countermeasure,3
"For example, strategic communication, leveraging fact-checking, improving digital literacy, implementing robust regulatory frameworks, employing targeted regional measures, engaging in international advocacy, conducting psychological operations, and strengthening cybersecurity defences could be used to respond to different incidents of the Russian narrative.",This sentence provides a set of proposed countermeasures that have not yet been implemented to address incidents of the Russian narrative.,Recommended Countermeasure,3
Strategic communication should prioritise building counter-narratives emphasising the legitimacy of the AFU and its work with NATO and EU partners to develop unified messages highlighting Ukraine's role in defending democratic values.,"The sentence recommends building counter-narratives to emphasize the legitimacy of the AFU, which is a proposed countermeasure.",Recommended Countermeasure,3
"Fact-checking and disinformation monitoring efforts of media, civil organisations and individual fact-checking specialists are crucial for real-time response, especially when mechanisms and AI-driven tools are used to detect and neutralise propaganda.","The sentence suggests the use of fact-checking and AI tools for real-time response, indicating a proposed countermeasure strategy.",Recommended Countermeasure,3
"Internationally, all stakeholders should expose Russian FIMI operations publicly at authoritative platforms such as the United Nations while presenting case studies to highlight the impact of disinformation campaigns, such as the Azov battalion's misrepresentation or false narratives which can lead to further escalation, like the Crocus Hall attack misinterpretation.","This sentence recommends exposing Russian disinformation campaigns at international platforms such as the UN, which is a proposed countermeasure.",Recommended Countermeasure,3
"Psychological operations (PSYOPS) should aim to undermine Russian narratives, targeting audiences with messages exposing propaganda inconsistencies while bolstering the morale of Ukrainian soldiers and civilians.","The sentence suggests a strategy for PSYOPS to counter Russian narratives, indicating a proposed action rather than one that has been implemented.",Recommended Countermeasure,3
"Robust cybersecurity measures are essential, focusing on securing communication systems to prevent exploitation by adversaries and dismantling bot networks that amplify disinformation.","The sentence suggests the implementation of cybersecurity measures as a strategy to prevent exploitation and disinformation, which indicates a proposed action.",Recommended Countermeasure,3
This case study is particularly relevant in the context of the ongoing Russia-Ukraine conflict.,The sentence simply states the relevance of a case study to the conflict without discussing any countermeasure or its recommendation.,Non-Countermeasure Related,2
"By analysing the psychological and communicative effects of FIMI campaigns, it provides a deep understanding of how disinformation influences human perceptions and behaviour.",This sentence provides insight into the analysis of FIMI campaigns without detailing any specific countermeasure or recommendation.,Non-Countermeasure Related,2
The use of cognitive dissonance and social identity theory provides valuable insights into the mechanics of disinformation and its ability to manipulate and polarise societies.,This sentence discusses theoretical insights into disinformation without mentioning any countermeasures or evaluations thereof.,Non-Countermeasure Related,2
"The findings underscore the need for effective countermeasures, including media literacy, international cooperation and transparent communication, to mitigate the effects of such manipulative interference.","The sentence emphasizes the need for particular strategies as countermeasures, implying they have not yet been implemented.",Recommended Countermeasure,3
Russian FIMI activities against the Ukrainian army and military units have consisted of several campaigns with incidents at different stages of the conflict.,The sentence provides an account of FIMI activities without mentioning any countermeasures or their effectiveness.,Non-Countermeasure Related,2
The historical conditioning and heredity from one campaign to another are valuable features of the Russian FIMI mechanics that the DISARM framework should consider in its improved version.,"The sentence suggests improvements to the DISARM framework as a strategy to address FIMI mechanics, implying an action that has not yet taken place.",Recommended Countermeasure,3
DISARM should consider in its next enhancement of the Navigator organisations of Russian compatriots as a tool for establishing assets and promoting false narratives.,"The sentence proposes a potential enhancement of the DISARM framework regarding Navigator organizations, indicating a recommended action.",Recommended Countermeasure,3
Disrupted cognitions (cognitive dissonance) can be effectively addressed by encouraging people to question inconsistencies and seek alternative sources of information.,"The sentence suggests a method for addressing cognitive dissonance, representing a proposed countermeasure rather than an implemented one.",Recommended Countermeasure,3
The core action in this context is to leverage public decision-making to arm citizens with the skill to see the gaps in the information environment.,"This sentence suggests a strategy to empower citizens by improving their ability to understand information gaps, which has not yet been executed.",Recommended Countermeasure,3
"Media literacy programs in different countries should include a civil component and be simultaneously supported by highly transparent and detailed state communication, especially regarding sensitive topics and decisions.","This sentence proposes enhancing media literacy programs with a civil component and transparent state communication, indicating recommended actions not yet taken.",Recommended Countermeasure,3
"Decision-makers should also consider critical thinking, especially in public campaigns and encourage people to seek additional information and context.","The sentence suggests that decision-makers should promote critical thinking and encourage information seeking, presenting a recommended measure rather than an applied one.",Recommended Countermeasure,3
"Communication campaigns and offline activities highlighting shared values, common goals and historical unity can strengthen national identity and unity.","This sentence recommends communication campaigns and offline activities as a way to strengthen national unity, indicating a countermeasure suggestion.",Recommended Countermeasure,3
"Such initiatives can include community-building activities, inclusive media programming and public endorsements by respected figures from various social groups and localities.","The sentence describes possible initiatives to strengthen unity and combat disinformation, clearly indicating a recommended countermeasure.",Recommended Countermeasure,3
"FIMI experienced through the lens of the likelihood model can be addressed by using the central route of persuasion, which involves the formation of motivation in the audience and the ability to evaluate disseminated information.","This sentence presents a theoretical approach using persuasion as a method to counteract FIMI, hence a recommended countermeasure.",Recommended Countermeasure,3
"This could help engage the public deeply with factual, logical and well-explained content, which has a long-term effect.","It describes the potential effect of the recommended action of using persuasion to engage the public, still within the context of recommendation.",Recommended Countermeasure,3
"This can involve educational programs that enhance media literacy and analytical skills, enabling individuals to evaluate the credibility and motives behind information sources critically.","This sentence suggests implementing educational programs to improve media literacy, a recommended strategy to counter disinformation.",Recommended Countermeasure,3
"Moderated public forums, debates and media outlets that purposefully present balanced perspectives on contentious issues could facilitate this.","The sentence proposes using moderated public forums and debates to present balanced perspectives, suggesting a countermeasure not yet executed.",Recommended Countermeasure,3
"Government and credible media outlets should consistently release accurate, transparent, factual information to counteract propaganda.","This is a recommendation for governments and media outlets to counteract propaganda with accurate information, indicating a proposed action.",Recommended Countermeasure,3
"This includes rapid response teams tasked with debunking misinformation and providing clear, evidence-based responses to propaganda claims.",The sentence describes the implementation of rapid response teams dedicated to countering misinformation by providing evidence-based responses.,Applied Countermeasure,0
Launch campaigns should positively reinforce supportive behaviours and outline the effectiveness of collective action.,"The sentence suggests a proposed action for launching campaigns that reinforce supportive behaviors, which indicates a strategy yet to be executed.",Recommended Countermeasure,3
This can be paired with highlighting stories of thriving community and military resilience and demonstrating widespread support for the military through visible public endorsements and demonstrations.,"The sentence proposes an additional recommended action to highlight community resilience and military support, which has not been carried out.",Recommended Countermeasure,3
Russian disinformation about COVID-19 vaccines,"The sentence provides a general topic without describing a countermeasure, recommendation, or evaluation of effectiveness.",Non-Countermeasure Related,2
Facebook took down 65 Facebook accounts and 243 Instagram accounts as part of the Fazze-linked operation.,The sentence details a concrete action taken by Facebook to counter disinformation by removing accounts involved in spreading it.,Applied Countermeasure,0
The campaign was halted in part because influencers refused the offer and made Fazze’s request public.,"The sentence evaluates the unintended consequence of influencers exposing the disinformation campaign, contributing to its cessation.",Countermeasure Effectiveness,1
"The French health minister, Olivier Véran, denounced the operation, calling it “pathetic and dangerous”.","The sentence describes a public denouncement by a government official, which is an action taken to counter the operation.",Applied Countermeasure,0
He did not elaborate on whether the government was investigating the matter.,"The sentence notes the lack of information on governmental investigation, which does not describe a countermeasure or its effectiveness.",Non-Countermeasure Related,2
"This case study suggests that Russian-related actors approached influencers asking them to spread disinformation about how ineffective western COVID-19 vaccines are, implying that Russian vaccines are more effective.",The sentence describes the disinformation operation but does not include a countermeasure or its assessment.,Non-Countermeasure Related,2
The influencers presented fake evidence to support these claims.,"The sentence provides details on the disinformation tactics used by influencers, without mentioning a countermeasure response.",Non-Countermeasure Related,2
"Most Western influencers turned down the offer of money for articulated support, which suggests that not everyone is corruptible and that the influencers could see that endorsing or bad-mouthing a product falsely for money was wrong.",This sentence discusses the behavior and motivations of influencers but does not describe or recommend a specific countermeasure against disinformation.,Non-Countermeasure Related,2
"This also underscores the critical importance of user literacy in recognising and countering such campaigns, preventing their amplification.",This sentence highlights the importance of user literacy as a strategy for countering disinformation campaigns.,Recommended Countermeasure,3
"However, influencers in India and Brazil have published content compatible with this disinformation campaign.",The sentence reports on the behavior of influencers in certain countries but does not relate to any countermeasure being suggested or applied.,Non-Countermeasure Related,2
We need better transparency with respect to the supported content published in social media.,The sentence suggests the need for greater transparency as a strategy to manage content on social media platforms.,Recommended Countermeasure,3
"For example, social media influencers should make it clear when they receive money for their posts.",This sentence proposes a specific action that influencers could take to improve transparency and counter disinformation.,Recommended Countermeasure,3
Sponsors should be registered with the social media in order to know who sponsors what kind of content.,The sentence recommends registering sponsors as a measure to increase transparency and control over content sponsorship.,Recommended Countermeasure,3
This will probably make it clear when foreign actors (or their proxies) sponsor the distribution of specific content in social media.,"This sentence speculates on the effectiveness of the proposed registration, advocating it as a means to identify foreign influence in social media.",Recommended Countermeasure,3
Better regulation of these sponsors should help with transparency.,The sentence recommends enhanced regulation as a strategy to improve transparency in sponsorship arrangements.,Recommended Countermeasure,3
"At the same time, attempts to bypass the regulation should have legal implications.",This sentence suggests that legal repercussions should be part of the strategy to enforce compliance with proposed regulations.,Recommended Countermeasure,3
Meta dismantles large-scale Chinese disinformation campaign,"The sentence describes an action taken by Meta to counteract a disinformation campaign, making it an applied countermeasure.",Applied Countermeasure,0
The following is a list of the countermeasures used by Meta in the disinformation campaign.,This sentence introduces the list of countermeasures but does not describe any specific action or its effectiveness.,Non-Countermeasure Related,2
These countermeasures have been compiled from the DISARM Blue Framework.,This sentence provides background information on the origin of the countermeasures but does not describe a specific action or its effectiveness.,Non-Countermeasure Related,2
C00070: Block access to disinformation resources,This sentence serves as a heading or title for a specific countermeasure strategy.,Non-Countermeasure Related,2
The main social networks (such as Facebook or X) used to spread disinformation have increasingly improved their systems for detecting and blocking disinformation resources.,"This sentence describes the action taken by social networks to improve systems for detecting and blocking disinformation resources, a concrete measure already implemented.",Applied Countermeasure,0
"This countermeasure has been the one most used by Meta, causing the instigators to use other websites or forums to share the disinformation and post it on the main social networks so that users pivot from one page to another.","This sentence evaluates the effectiveness of the countermeasure by describing how it forced instigators to change tactics, indicating an impact assessment of the measure's effectiveness.",Countermeasure Effectiveness,1
C00071: Block source of pollution,This sentence serves as a heading or title for a specific countermeasure strategy.,Non-Countermeasure Related,2
"In its report, Meta speaks of 954 blocked pages, 15 groups and 15 Instagram accounts.","This sentence details specific actions taken by Meta to block pages and accounts, directly indicating a countermeasure that was implemented.",Applied Countermeasure,0
These blockings are produced to prevent pivoting from Meta's social networks to pages containing the disinformation campaign.,"This sentence provides the rationale behind the specific action of blocking, reinforcing it as a concrete countermeasure already implemented.",Applied Countermeasure,0
C00197: Remove suspicious accounts,This sentence serves as a heading or title for a specific countermeasure strategy.,Non-Countermeasure Related,2
"As the name of the case study indicates, Meta blocked all accounts that were responsible for spreading disinformation through its social networks.","This sentence indicates a specific action taken by Meta, describing the removal of accounts as a countermeasure already implemented.",Applied Countermeasure,0
This case study shows the high adaptability of disinformation campaigns.,The sentence describes the adaptability of disinformation campaigns but does not mention any countermeasures or responses.,Non-Countermeasure Related,2
"Disinformation actors, in this case linked to China, can use a wide range of platforms and techniques to evade detection and continue to spread their messages.",The sentence highlights techniques of disinformation actors but does not address any countermeasures or responses to these actions.,Non-Countermeasure Related,2
This highlights the need for constant vigilance and adaptation of countermeasures as malicious actors' tactics evolve.,"The sentence recommends vigilance and adaptation in countering disinformation, thereby proposing a strategy for countermeasures.",Recommended Countermeasure,3
It also underscores the importance of global cooperation and constant updating of detection technologies that can identify patterns of behavior associated with disinformation campaigns across multiple platforms.,"The sentence suggests the necessity of global cooperation and updating technologies, which is a recommended approach to counter disinformation.",Recommended Countermeasure,3
The use of social networks as a means of spreading disinformation has been increasing in recent years.,The sentence discusses the trend of using social networks for disinformation but does not address any countermeasures.,Non-Countermeasure Related,2
"However, the spread of disinformation on social networks not only affects individuals but also the companies behind the social networks themselves, which try to detect and eliminate it through algorithms.",The sentence describes actions taken by companies using algorithms to detect and eliminate disinformation.,Applied Countermeasure,0
The adaptability of the agents that spread disinformation to detection algorithms means that companies have to be constantly innovating to be able to detect these malicious behaviours.,"The sentence suggests the ongoing need for innovation in detection approaches by companies as a strategy to counter disinformation, presenting it as a recommendation.",Recommended Countermeasure,3
"As a recommendation, the development of context creation systems such as those used in Twitter (now X), have worked well to prevent the spread of disinformation.","The sentence evaluates the effectiveness of context creation systems in preventing disinformation, indicating they have been successful.",Countermeasure Effectiveness,1
"However, these systems work through user votes.",The sentence provides information on how the systems operate without addressing its direct role in disinformation countermeasures.,Non-Countermeasure Related,2
"Therefore, there should be user profile modelling systems and artificial intelligence systems to be able to detect possible disinformation campaigns in the same context systems.","The sentence proposes the development of advanced systems for detecting disinformation, thus recommending a specific countermeasure.",Recommended Countermeasure,3
"In addition to the creation of detection and prevention systems, governments should work to educate citizens from a critical point of view of the news so that they cannot easily fall into this type of campaign.",The sentence suggests a proposed action (educating citizens) that has not yet been executed but is intended to counteract disinformation or mitigate its effects.,Recommended Countermeasure,3
"Facebook accounts in China impersonated Americans, Meta says",The sentence is reporting a fact or claim made by Meta without addressing any response or countermeasure related to the disinformation.,Non-Countermeasure Related,2
The current blue framework is the output of a workshop of volunteers in 2019.,The sentence is providing background information about the creation of the blue framework but does not address a specific countermeasure or its recommendation or effectiveness.,Non-Countermeasure Related,2
"While parts of it may be useful, other parts are highly problematic from the point of view of democratic values and ethical principles, if read without context or qualification.","The sentence offers an evaluation or cautionary note about the framework itself, rather than addressing a specific countermeasure already applied or proposed.",Non-Countermeasure Related,2
"For this reason, the DISARM Foundation advises caution to anyone using it and is publishing a Companion Guide with some considerations for use.","The sentence describes an action taken (publication of a Companion Guide) to provide context and guidelines for using the blue framework, indicating a measure taken to address potential misuse or misinterpretation.",Applied Countermeasure,0
"C00070: Block access to disinformation resources - As we have seen in this case study, the social networks used to spread disinformation have increasingly improved their systems for detecting and blocking disinformation resources.",The sentence describes a specific countermeasure already implemented (blocking access to disinformation resources) by improving detection systems on social networks.,Applied Countermeasure,0
"This countermeasure has been most used by Meta, causing the instigators to pivot from other pages that have also been detected and eliminated.",The sentence evaluates the effectiveness of the countermeasure by noting the impact it had on instigators who pivoted to other pages.,Countermeasure Effectiveness,1
"C00071: Block source of pollution - In its report, Meta speaks of blocking 954 pages, 15 groups and 15 Instagram accounts.",The sentence describes a concrete action taken by Meta (blocking pages and accounts) as part of a countermeasure strategy.,Applied Countermeasure,0
"C00197: Remove suspicious accounts  - As the name of the use case indicates, Meta blocked all accounts that were responsible for spreading disinformation through its social networks.","The sentence describes the action taken by Meta to remove accounts tied to spreading disinformation, classifying it as an implemented countermeasure.",Applied Countermeasure,0
"In this use case, the attackers pushed disinformation on pages external to the social network in order to pivot the users of the social network towards this disinformation content, which would violate the Meta rules and be deleted automatically (thus, generating persistence in the social network).",The sentence describes a tactic used by attackers rather than addressing a response or action taken to counter it.,Non-Countermeasure Related,2
"In the previous use case, we saw the adaptability of malicious agents during disinformation propagation.",The sentence describes the adaptability of malicious agents without addressing any countermeasure or response.,Non-Countermeasure Related,2
"In the present use case, we see how this adaptability causes the propagation of disinformation to continue and increase over time.",The sentence discusses the consequences of adaptability in disinformation but does not mention any countermeasure to address it.,Non-Countermeasure Related,2
As indicated in the previous use case.,The sentence is a partial fragment referencing previous discussion without providing details on a countermeasure.,Non-Countermeasure Related,2
The use of context systems through the community combined with AI systems is recommended for the detection of potential mischief within that same community context.,"The sentence suggests using context systems combined with AI as a proactive method to detect potential disinformation, which reflects a proposed countermeasure.",Recommended Countermeasure,3
"In addition, citizen education and awareness will be a key element in stopping these campaigns.","The sentence proposes citizen education and awareness as a strategy to counter disinformation, indicating a recommended countermeasure.",Recommended Countermeasure,3
PAPERWALL: Chinese websites pose as local news to target global audiences,The sentence provides context and information about the disinformation campaign but does not discuss any response or countermeasure.,Non-Countermeasure Related,2
"Countermeasures taken in the wake of PAPERWALL case have so far been limited to public exposure by media (Il Foglio), government institutions (the South Korean National Cyber Security Center, NCSC), cybersecurity companies (Mandiant), NGOs (EU DisinfoLab and CitizenLab), which exposed the broadest research.","The sentence describes several concrete actions already implemented to counter the PAPERWALL case, such as public exposure by various organizations.",Applied Countermeasure,0
"Another important countermeasure was attributing the actions to specific threat actors, exposing them publicly [C00115] and providing proof of involvement [C00116].","The sentence discusses the action of attributing and exposing threat actors involved in disinformation, which is an executed countermeasure.",Applied Countermeasure,0
Other actions against the network or its actors have not yet been taken.,The sentence notes the absence of further actions rather than recommending or describing an existing countermeasure.,Non-Countermeasure Related,2
Il Foglio,The sentence is just a mention of a media outlet name and does not relate to any countermeasure activity.,Non-Countermeasure Related,2
"As for the content, the actors themselves have deleted some of it.","The sentence describes an action already taken by the actors involved in disinformation, which is the deletion of some content.",Applied Countermeasure,0
The low distribution on social media makes any mention of content moderation [C00122] superfluous.,"The sentence assesses the effectiveness of potential content moderation by stating that due to low distribution, moderation is unnecessary.",Countermeasure Effectiveness,1
"In this case, the only assets that can be subject to action are the websites themselves, a measure that has not been taken so far.","The sentence suggests a possible action to counter disinformation, which is taking action against the websites, but notes that this measure has not been implemented.",Recommended Countermeasure,3
"The low impact of the campaign is no reason, however, to lower our guard, as researchers warn that the assets could be taken up again at any time for other purposes.","Although primarily an alert about not becoming complacent, it implies a recommendation to remain vigilant in monitoring these assets.",Recommended Countermeasure,3
"China is involved in influence operations in the West and is increasingly using private firms to manage its foreign influence campaigns on behalf of the government, obfuscating the connections and thus the attribution.",The sentence provides an analysis of China's methods in conducting influence operations but does not describe a countermeasure or its evaluation.,Non-Countermeasure Related,2
